movieId,isin_rating,title,year,genres_list
1,True,Toy Story ,1995,Adventure
1,True,Toy Story ,1995,Animation
1,True,Toy Story ,1995,Children
1,True,Toy Story ,1995,Comedy
1,True,Toy Story ,1995,Fantasy
2,True,Jumanji ,1995,Adventure
2,True,Jumanji ,1995,Children
2,True,Jumanji ,1995,Fantasy
3,True,Grumpier Old Men ,1995,Comedy
3,True,Grumpier Old Men ,1995,Romance
4,True,Waiting to Exhale ,1995,Comedy
4,True,Waiting to Exhale ,1995,Drama
4,True,Waiting to Exhale ,1995,Romance
5,True,Father of the Bride Part II ,1995,Comedy
6,True,Heat ,1995,Action
6,True,Heat ,1995,Crime
6,True,Heat ,1995,Thriller
7,True,Sabrina ,1995,Comedy
7,True,Sabrina ,1995,Romance
8,True,Tom and Huck ,1995,Adventure
8,True,Tom and Huck ,1995,Children
9,True,Sudden Death ,1995,Action
10,True,GoldenEye ,1995,Action
10,True,GoldenEye ,1995,Adventure
10,True,GoldenEye ,1995,Thriller
11,True,"American President, The ",1995,Comedy
11,True,"American President, The ",1995,Drama
11,True,"American President, The ",1995,Romance
12,True,Dracula: Dead and Loving It ,1995,Comedy
12,True,Dracula: Dead and Loving It ,1995,Horror
13,True,Balto ,1995,Adventure
13,True,Balto ,1995,Animation
13,True,Balto ,1995,Children
14,True,Nixon ,1995,Drama
15,True,Cutthroat Island ,1995,Action
15,True,Cutthroat Island ,1995,Adventure
15,True,Cutthroat Island ,1995,Romance
16,True,Casino ,1995,Crime
16,True,Casino ,1995,Drama
17,True,Sense and Sensibility ,1995,Drama
17,True,Sense and Sensibility ,1995,Romance
18,True,Four Rooms ,1995,Comedy
19,True,Ace Ventura: When Nature Calls ,1995,Comedy
20,True,Money Train ,1995,Action
20,True,Money Train ,1995,Comedy
20,True,Money Train ,1995,Crime
20,True,Money Train ,1995,Drama
20,True,Money Train ,1995,Thriller
21,True,Get Shorty ,1995,Comedy
21,True,Get Shorty ,1995,Crime
21,True,Get Shorty ,1995,Thriller
22,True,Copycat ,1995,Crime
22,True,Copycat ,1995,Drama
22,True,Copycat ,1995,Horror
22,True,Copycat ,1995,Mystery
22,True,Copycat ,1995,Thriller
23,True,Assassins ,1995,Action
23,True,Assassins ,1995,Crime
23,True,Assassins ,1995,Thriller
24,True,Powder ,1995,Drama
24,True,Powder ,1995,Sci-Fi
25,True,Leaving Las Vegas ,1995,Drama
25,True,Leaving Las Vegas ,1995,Romance
26,True,Othello ,1995,Drama
27,True,Now and Then ,1995,Children
27,True,Now and Then ,1995,Drama
28,True,Persuasion ,1995,Drama
28,True,Persuasion ,1995,Romance
29,True,"City of Lost Children, The (Cité des enfants perdus, La) ",1995,Adventure
29,True,"City of Lost Children, The (Cité des enfants perdus, La) ",1995,Drama
29,True,"City of Lost Children, The (Cité des enfants perdus, La) ",1995,Fantasy
29,True,"City of Lost Children, The (Cité des enfants perdus, La) ",1995,Mystery
29,True,"City of Lost Children, The (Cité des enfants perdus, La) ",1995,Sci-Fi
30,True,Shanghai Triad (Yao a yao yao dao waipo qiao) ,1995,Crime
30,True,Shanghai Triad (Yao a yao yao dao waipo qiao) ,1995,Drama
31,True,Dangerous Minds ,1995,Drama
32,True,Twelve Monkeys (a.k.a. 12 Monkeys) ,1995,Mystery
32,True,Twelve Monkeys (a.k.a. 12 Monkeys) ,1995,Sci-Fi
32,True,Twelve Monkeys (a.k.a. 12 Monkeys) ,1995,Thriller
34,True,Babe ,1995,Children
34,True,Babe ,1995,Drama
36,True,Dead Man Walking ,1995,Crime
36,True,Dead Man Walking ,1995,Drama
38,True,It Takes Two ,1995,Children
38,True,It Takes Two ,1995,Comedy
39,True,Clueless ,1995,Comedy
39,True,Clueless ,1995,Romance
40,True,"Cry, the Beloved Country ",1995,Drama
41,True,Richard III ,1995,Drama
41,True,Richard III ,1995,War
42,True,Dead Presidents ,1995,Action
42,True,Dead Presidents ,1995,Crime
42,True,Dead Presidents ,1995,Drama
43,True,Restoration ,1995,Drama
44,True,Mortal Kombat ,1995,Action
44,True,Mortal Kombat ,1995,Adventure
44,True,Mortal Kombat ,1995,Fantasy
45,True,To Die For ,1995,Comedy
45,True,To Die For ,1995,Drama
45,True,To Die For ,1995,Thriller
46,True,How to Make an American Quilt ,1995,Drama
46,True,How to Make an American Quilt ,1995,Romance
47,True,Seven (a.k.a. Se7en) ,1995,Mystery
47,True,Seven (a.k.a. Se7en) ,1995,Thriller
48,True,Pocahontas ,1995,Animation
48,True,Pocahontas ,1995,Children
48,True,Pocahontas ,1995,Drama
48,True,Pocahontas ,1995,Musical
48,True,Pocahontas ,1995,Romance
49,True,When Night Is Falling ,1995,Drama
49,True,When Night Is Falling ,1995,Romance
50,True,"Usual Suspects, The ",1995,Crime
50,True,"Usual Suspects, The ",1995,Mystery
50,True,"Usual Suspects, The ",1995,Thriller
52,True,Mighty Aphrodite ,1995,Comedy
52,True,Mighty Aphrodite ,1995,Drama
52,True,Mighty Aphrodite ,1995,Romance
53,True,Lamerica ,1994,Adventure
53,True,Lamerica ,1994,Drama
54,True,"Big Green, The ",1995,Children
54,True,"Big Green, The ",1995,Comedy
55,True,Georgia ,1995,Drama
57,True,Home for the Holidays ,1995,Drama
58,True,"Postman, The (Postino, Il) ",1994,Comedy
58,True,"Postman, The (Postino, Il) ",1994,Drama
58,True,"Postman, The (Postino, Il) ",1994,Romance
60,True,"Indian in the Cupboard, The ",1995,Adventure
60,True,"Indian in the Cupboard, The ",1995,Children
60,True,"Indian in the Cupboard, The ",1995,Fantasy
61,True,Eye for an Eye ,1996,Drama
61,True,Eye for an Eye ,1996,Thriller
62,True,Mr. Holland's Opus ,1995,Drama
63,True,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,Comedy
63,True,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,Crime
64,True,Two if by Sea ,1996,Comedy
64,True,Two if by Sea ,1996,Romance
65,True,Bio-Dome ,1996,Comedy
66,True,Lawnmower Man 2: Beyond Cyberspace ,1996,Action
66,True,Lawnmower Man 2: Beyond Cyberspace ,1996,Sci-Fi
66,True,Lawnmower Man 2: Beyond Cyberspace ,1996,Thriller
68,True,French Twist (Gazon maudit) ,1995,Comedy
68,True,French Twist (Gazon maudit) ,1995,Romance
69,True,Friday ,1995,Comedy
70,True,From Dusk Till Dawn ,1996,Action
70,True,From Dusk Till Dawn ,1996,Comedy
70,True,From Dusk Till Dawn ,1996,Horror
70,True,From Dusk Till Dawn ,1996,Thriller
71,True,Fair Game ,1995,Action
72,True,Kicking and Screaming ,1995,Comedy
72,True,Kicking and Screaming ,1995,Drama
73,True,"Misérables, Les ",1995,Drama
73,True,"Misérables, Les ",1995,War
74,True,Bed of Roses ,1996,Drama
74,True,Bed of Roses ,1996,Romance
75,True,Big Bully ,1996,Comedy
75,True,Big Bully ,1996,Drama
76,True,Screamers ,1995,Action
76,True,Screamers ,1995,Sci-Fi
76,True,Screamers ,1995,Thriller
77,True,Nico Icon ,1995,Documentary
78,True,"Crossing Guard, The ",1995,Action
78,True,"Crossing Guard, The ",1995,Crime
78,True,"Crossing Guard, The ",1995,Drama
78,True,"Crossing Guard, The ",1995,Thriller
79,True,"Juror, The ",1996,Drama
79,True,"Juror, The ",1996,Thriller
80,True,"White Balloon, The (Badkonake sefid) ",1995,Children
80,True,"White Balloon, The (Badkonake sefid) ",1995,Drama
81,True,Things to Do in Denver When You're Dead ,1995,Crime
81,True,Things to Do in Denver When You're Dead ,1995,Drama
81,True,Things to Do in Denver When You're Dead ,1995,Romance
82,True,Antonia's Line (Antonia) ,1995,Comedy
82,True,Antonia's Line (Antonia) ,1995,Drama
83,True,Once Upon a Time... When We Were Colored ,1995,Drama
83,True,Once Upon a Time... When We Were Colored ,1995,Romance
85,True,Angels and Insects ,1995,Drama
85,True,Angels and Insects ,1995,Romance
86,True,White Squall ,1996,Action
86,True,White Squall ,1996,Adventure
86,True,White Squall ,1996,Drama
87,True,Dunston Checks In ,1996,Children
87,True,Dunston Checks In ,1996,Comedy
88,True,Black Sheep ,1996,Comedy
89,True,Nick of Time ,1995,Action
89,True,Nick of Time ,1995,Thriller
92,True,Mary Reilly ,1996,Drama
92,True,Mary Reilly ,1996,Horror
92,True,Mary Reilly ,1996,Thriller
93,True,Vampire in Brooklyn ,1995,Comedy
93,True,Vampire in Brooklyn ,1995,Horror
93,True,Vampire in Brooklyn ,1995,Romance
94,True,Beautiful Girls ,1996,Comedy
94,True,Beautiful Girls ,1996,Drama
94,True,Beautiful Girls ,1996,Romance
95,True,Broken Arrow ,1996,Action
95,True,Broken Arrow ,1996,Adventure
95,True,Broken Arrow ,1996,Thriller
96,True,In the Bleak Midwinter ,1995,Comedy
96,True,In the Bleak Midwinter ,1995,Drama
97,True,"Hate (Haine, La) ",1995,Crime
97,True,"Hate (Haine, La) ",1995,Drama
99,True,Heidi Fleiss: Hollywood Madam ,1995,Documentary
100,True,City Hall ,1996,Drama
100,True,City Hall ,1996,Thriller
101,True,Bottle Rocket ,1996,Adventure
101,True,Bottle Rocket ,1996,Comedy
101,True,Bottle Rocket ,1996,Crime
101,True,Bottle Rocket ,1996,Romance
102,True,Mr. Wrong ,1996,Comedy
103,True,Unforgettable ,1996,Mystery
103,True,Unforgettable ,1996,Sci-Fi
103,True,Unforgettable ,1996,Thriller
104,True,Happy Gilmore ,1996,Comedy
105,True,"Bridges of Madison County, The ",1995,Drama
105,True,"Bridges of Madison County, The ",1995,Romance
106,True,Nobody Loves Me (Keiner liebt mich) ,1994,Comedy
106,True,Nobody Loves Me (Keiner liebt mich) ,1994,Drama
107,True,Muppet Treasure Island ,1996,Adventure
107,True,Muppet Treasure Island ,1996,Children
